frame,timestamp,x,y,vx,vy,speed,heading_deg,pred_x,pred_y,det_conf,heading_confidence,speed_confidence,pos_cov_trace,vel_cov_trace
47,1.5667,388.844,309.587,37.4294,-1.3669,37.4544,-2.091,407.559,308.904,0.1847,0.8608,0.8209,1.9779,2.7601
48,1.6,370.935,309.496,18.8749,-1.411,18.9276,-4.275,380.372,308.791,0.1278,0.8637,0.8247,1.9404,2.6178
49,1.6333,354.235,309.471,2.3977,-1.3901,2.7715,-30.105,355.434,308.776,0.1178,0.8665,0.8283,1.9045,2.4871
50,1.6667,338.572,309.459,-12.3061,-1.3579,12.3808,-173.703,332.419,308.78,0.1254,0.8691,0.8317,1.8699,2.3671
51,1.7,323.893,309.404,-25.4025,-1.3672,25.4392,-176.919,311.192,308.72,0.1144,0.8716,0.835,1.8368,2.2566
52,1.7333,310.017,309.461,-37.1618,-1.2744,37.1836,-178.036,291.436,308.824,0.4305,0.874,0.8381,1.8049,2.1548
53,1.7667,297.842,309.311,-46.8727,-1.37,46.8927,-178.326,274.405,308.626,0.1522,0.8762,0.841,1.7743,2.061
54,1.8,299.659,309.301,-43.9189,-1.339,43.9393,-178.254,277.7,308.631,0.1053,0.8783,0.8438,1.7448,1.9743
55,1.8333,287.13,309.292,-53.4415,-1.3086,53.4575,-178.597,260.409,308.637,0.1513,0.8804,0.8464,1.7164,1.8941
56,1.8667,275.356,309.617,-61.9139,-0.9953,61.9219,-179.079,244.399,309.12,0.2475,0.8823,0.8489,1.6891,1.82
57,1.9,264.144,309.953,-69.5588,-0.6876,69.5622,-179.434,229.364,309.609,0.3175,0.8841,0.8513,1.6629,1.7513
58,1.9333,275.675,309.961,-58.1453,-0.6621,58.149,-179.348,246.602,309.629,0.146,0.8858,0.8536,1.6375,1.6876
59,1.9667,286.436,309.96,-47.8204,-0.6446,47.8248,-179.228,262.526,309.638,0.1542,0.8875,0.8557,1.6131,1.6286
60,2.0,275.426,309.894,-55.3763,-0.6805,55.3805,-179.296,247.738,309.553,0.1063,0.889,0.8577,1.5896,1.5737
61,2.0333,265.067,309.85,-62.122,-0.697,62.1259,-179.357,234.006,309.502,0.1164,0.8905,0.8597,1.567,1.5228
62,2.0667,264.341,309.761,-61.0695,-0.7484,61.0741,-179.298,233.806,309.387,0.1183,0.8919,0.8615,1.5451,1.4754
63,2.1,254.313,309.766,-67.2526,-0.7252,67.2565,-179.382,220.686,309.404,0.2207,0.8932,0.8632,1.5241,1.4314
64,2.1333,267.53,309.596,-55.429,-0.8373,55.4353,-179.135,239.815,309.177,0.2991,0.8945,0.8649,1.5037,1.3903
65,2.1667,280.082,309.462,-44.5349,-0.9172,44.5444,-178.82,257.815,309.004,0.2852,0.8957,0.8664,1.4841,1.3521
66,2.2,292.016,309.331,-34.4905,-0.9922,34.5047,-178.352,274.771,308.835,0.2323,0.8969,0.8679,1.4652,1.3165
67,2.2333,303.389,309.215,-25.211,-1.0536,25.233,-177.607,290.783,308.689,0.2192,0.8979,0.8693,1.447,1.2833
68,2.2667,292.638,309.187,-32.4835,-1.0488,32.5004,-178.151,276.396,308.662,0.366,0.899,0.8707,1.4294,1.2523
69,2.3,281.966,309.264,-39.454,-0.967,39.4659,-178.596,262.239,308.781,0.2493,0.8999,0.872,1.4124,1.2235
70,2.3333,293.292,309.095,-30.3474,-1.0662,30.3661,-177.988,278.118,308.561,0.2261,0.9009,0.8732,1.396,1.1965
71,2.3667,304.011,308.894,-21.9694,-1.1839,22.0012,-176.915,293.026,308.302,0.213,0.9018,0.8743,1.3802,1.1713
72,2.4,314.162,308.68,-14.2606,-1.308,14.3205,-174.76,307.031,308.026,0.1795,0.9026,0.8754,1.3649,1.1478
73,2.4333,323.86,308.468,-7.1115,-1.4259,7.2531,-168.662,320.304,307.755,0.1821,0.9034,0.8764,1.3501,1.1258
74,2.4667,333.136,308.275,-0.4766,-1.5273,1.6,-107.332,332.898,307.511,0.1382,0.9041,0.8774,1.3359,1.1053
75,2.5,342.119,308.122,5.7543,-1.5983,5.9721,-15.523,344.997,307.323,0.1384,0.9048,0.8783,1.3222,1.0861
77,2.5667,329.937,308.076,-2.8323,-1.5564,3.2318,-151.21,328.521,307.298,0.4974,0.9035,0.8766,1.3666,1.1187
78,2.6,339.062,307.926,3.4298,-1.6237,3.7948,-25.334,340.777,307.114,0.1132,0.9042,0.8775,1.3497,1.0994
79,2.6333,347.724,307.79,9.2034,-1.6784,9.3552,-10.335,352.326,306.951,0.113,0.9049,0.8784,1.3336,1.0814
81,2.7,334.907,307.759,0.2238,-1.6243,1.6397,-82.157,335.019,306.947,0.15,0.9035,0.8766,1.375,1.1151
82,2.7333,338.783,307.661,2.7983,-1.6535,3.2503,-30.579,340.182,306.835,0.1541,0.9042,0.8776,1.3563,1.0969
83,2.7667,326.298,307.685,-5.5379,-1.6011,5.7647,-163.874,323.529,306.885,0.3205,0.9049,0.8784,1.3386,1.08
84,2.8,330.472,307.597,-2.6607,-1.6244,3.1173,-148.595,329.142,306.785,0.1223,0.9055,0.8792,1.3219,1.0642
85,2.8333,318.493,307.626,-10.4803,-1.5696,10.5972,-171.482,313.253,306.841,0.1647,0.9061,0.88,1.3061,1.0494
86,2.8667,307.078,307.704,-17.7319,-1.4841,17.7939,-175.216,298.212,306.962,0.2723,0.9067,0.8807,1.2911,1.0357
87,2.9,308.097,307.65,-16.6803,-1.4873,16.7465,-174.905,299.757,306.906,0.1065,0.9072,0.8814,1.2769,1.0228
88,2.9333,297.166,307.654,-23.4361,-1.4524,23.481,-176.454,285.448,306.927,0.1573,0.9077,0.882,1.2635,1.0108
89,2.9667,286.671,307.689,-29.7433,-1.398,29.7761,-177.309,271.8,306.99,0.1635,0.9082,0.8826,1.2507,0.9996
90,3.0,276.575,307.7,-35.6396,-1.3608,35.6656,-177.813,258.755,307.019,0.1861,0.9087,0.8832,1.2385,0.9892
91,3.0333,266.649,307.745,-41.2841,-1.3024,41.3047,-178.193,246.007,307.094,0.1711,0.9091,0.8838,1.227,0.9793
92,3.0667,257.184,307.753,-46.4972,-1.2693,46.5145,-178.436,233.935,307.118,0.2526,0.9095,0.8843,1.216,0.9702
93,3.1,248.077,307.766,-51.3572,-1.2336,51.372,-178.624,222.399,307.149,0.4763,0.9099,0.8847,1.2056,0.9616
94,3.1333,256.397,307.745,-44.918,-1.2205,44.9346,-178.444,233.938,307.135,0.2272,0.9102,0.8852,1.1957,0.9535
95,3.1667,264.427,307.713,-38.8138,-1.2152,38.8328,-178.207,245.02,307.105,0.2106,0.9106,0.8856,1.1862,0.946
96,3.2,255.022,307.747,-44.0021,-1.1678,44.0176,-178.48,233.021,307.163,0.2757,0.9109,0.886,1.1772,0.9389
97,3.2333,262.974,307.712,-37.9866,-1.1651,38.0045,-178.243,243.981,307.129,0.1428,0.9112,0.8864,1.1687,0.9323
98,3.2667,254.086,307.699,-42.8478,-1.1488,42.8632,-178.464,232.662,307.124,0.3557,0.9115,0.8868,1.1605,0.9261
99,3.3,245.45,307.786,-47.4394,-1.0688,47.4514,-178.709,221.73,307.251,0.1768,0.9118,0.8871,1.1527,0.9203
100,3.3333,236.918,307.839,-51.8617,-1.0126,51.8716,-178.881,210.987,307.332,0.4278,0.912,0.8874,1.1453,0.9148
101,3.3667,228.682,307.879,-55.9982,-0.9655,56.0065,-179.012,200.683,307.396,0.5404,0.9123,0.8877,1.1382,0.9097
102,3.4,237.852,307.929,-48.9891,-0.9131,48.9976,-178.932,213.358,307.473,0.343,0.9125,0.888,1.1315,0.9049
103,3.4333,246.57,307.974,-42.4209,-0.8653,42.4297,-178.831,225.36,307.542,0.2661,0.9127,0.8883,1.1251,0.9004
104,3.4667,237.92,308.016,-47.0093,-0.8204,47.0164,-179.0,214.415,307.606,0.1321,0.9129,0.8885,1.119,0.8961
105,3.5,229.569,308.052,-51.3085,-0.7804,51.3144,-179.129,203.915,307.662,0.2369,0.9131,0.8888,1.1131,0.8922
106,3.5333,221.474,308.055,-55.352,-0.7621,55.3572,-179.211,193.798,307.674,0.2547,0.9133,0.889,1.1076,0.8885
107,3.5667,213.684,308.101,-59.1157,-0.7167,59.12,-179.305,184.126,307.743,0.1563,0.9135,0.8892,1.1023,0.885
108,3.6,206.148,308.158,-62.6378,-0.6658,62.6413,-179.391,174.829,307.825,0.4794,0.9136,0.8894,1.0972,0.8817
109,3.6333,215.537,308.121,-55.377,-0.6747,55.3811,-179.302,187.849,307.784,0.3061,0.9138,0.8896,1.0924,0.8786
110,3.6667,224.607,308.114,-48.4731,-0.6653,48.4777,-179.214,200.371,307.781,0.2229,0.9139,0.8898,1.0878,0.8758
